code;name;account_type;companies;cod_nat_odoo_atual;cod_nat_odoo_atual_label;cod_nat_esperado;cod_nat_esperado_label;acao_solicitada
3201090006;UNIFORMES;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201090007;SERVICOS DE USINAGEM;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201090008;MATERIAL LABORATÓRIO;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201100001;MAO DE OBRA TEMPORARIA;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201100002;ARMAZENAGEM;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201100003;LIMPEZA E CONSERVACAO;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201100004;ANALISES BIOLOGICAS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201100005;SERVICOS DE MANUTENCAO;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201100006;COLETA DE RESIDUOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201110001;SEGURO DE OBRAS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201110002;SEGURO INCENDIO, ENCHENTES, DESASTRES E AFINS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201110003;SEGURO DE RESPONSABILIDADE CIVIL;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201110004;SEGURO VEICULOS PROPRIOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201120001;LOCACOES DE EQUIPAMENTOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201120002;LOCACOES DE MOVEIS E UTENSILIOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201120003;LOCACOES DE VEICULOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130001;DEPREC EDIFICACOES E CONSTRUCOES;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130002;DEPREC INSTALACOES;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130003;DEPREC MAQUINAS E EQUIPAMENTOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130004;DEPREC MOLDES;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130005;DEPREC MOVEIS E UTENSILIOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130006;DEPREC VEICULOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130007;DEPREC COMPUTADORES E PERIFERICOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130008;DEPREC FERRAMENTAS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130009;DEPREC BENFEITORIAS EM TERCEIROS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130010;AMORTIZ SOFTWARES;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201130011;AMORTIZ LICENSAS DE USO;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201140001;PERDAS NO PROCESSO DE PRODUCAO;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3201990099;TRANSF. GASTOS GERAIS DE FABRICAÇÃO;expense;FB;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3202010001;CUSTOS DAS MERCADORIAS VENDIDAS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3202010002;VARIAÇÃO DE ESTOQUES;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3203010001;CUSTOS DOS SERVICOS PRESTADOS;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3401010001;RECEITA DE SUCATA;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3401010002;(-) PIS SOBRE VENDA DE SUCATA;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3401010003;(-) COFINS SOBRE VENDA DE SUCATA;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3401090001;CREDITO ICMS PRESUMIDO;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
3401090002;(-) PIS SOBRE CREDITO FISCAIS PRESUMIDO;expense;FB,SC,CD;04;Receita;05;Custo/Despesa;Corrigir l10n_br_cod_nat de 04 para 05
