cod,qty_solicitada,cod_status,transf_idx,lot_id_origem,lote_origem_nome,location_id_origem,qty_pretendida,qty_movida,transf_status,tempo_ms_transf
209000152,76068.0,EXECUTADO_TOTAL,1,59630,13201,8,15200.0,15200.0,EXECUTADO,1648
209000152,76068.0,EXECUTADO_TOTAL,2,59703,13227,8,948.0,948.0,EXECUTADO,-1222
209000152,76068.0,EXECUTADO_TOTAL,3,59712,13228,8,804.0,804.0,EXECUTADO,1666
209000152,76068.0,EXECUTADO_TOTAL,4,59087,5326,8,51916.0,51916.0,EXECUTADO,1614
209000152,76068.0,EXECUTADO_TOTAL,5,59240,8507,8,7200.0,7200.0,EXECUTADO,1566
209000151,79392.0,EXECUTADO_TOTAL,1,59629,13201,8,69996.0,69996.0,EXECUTADO,1539
209000151,79392.0,EXECUTADO_TOTAL,2,59702,13227,8,948.0,948.0,EXECUTADO,1589
209000151,79392.0,EXECUTADO_TOTAL,3,59713,13228,8,804.0,804.0,EXECUTADO,1596
209000151,79392.0,EXECUTADO_TOTAL,4,59242,6433,8,7644.0,7644.0,EXECUTADO,1551
210030323,84136.0,EXECUTADO_TOTAL,1,59658,13203,8,42136.0,42136.0,EXECUTADO,1494
210030323,84136.0,EXECUTADO_TOTAL,2,40279,25854,8,42000.0,42000.0,EXECUTADO,1448
209000410,102354.0,EXECUTADO_TOTAL,1,59382,13192,8,1400.0,1400.0,EXECUTADO,1669
209000410,102354.0,EXECUTADO_TOTAL,2,58496,13194,8,1400.0,1400.0,EXECUTADO,1493
209000410,102354.0,EXECUTADO_TOTAL,3,59633,13201,8,78470.0,78470.0,EXECUTADO,1531
209000410,102354.0,EXECUTADO_TOTAL,4,59350,13217,8,1409.0,1409.0,EXECUTADO,1547
209000410,102354.0,EXECUTADO_TOTAL,5,59005,5159/11,8,19675.0,19675.0,EXECUTADO,1602
210010322,143100.0,EXECUTADO_TOTAL,1,21159,241104,8,143100.0,143100.0,EXECUTADO,1478
210030110,158212.0,EXECUTADO_TOTAL,1,59007,1129,8,158212.0,158212.0,EXECUTADO,1587
207210017,158380.0,EXECUTADO_TOTAL,1,59598,13210,8,4032.0,4032.0,EXECUTADO,1532
207210017,158380.0,EXECUTADO_TOTAL,2,59771,13231,8,294.0,294.0,EXECUTADO,1520
207210017,158380.0,EXECUTADO_TOTAL,3,59004,ME237-205/24,8,137277.0,137277.0,EXECUTADO,1469
207210017,158380.0,EXECUTADO_TOTAL,4,57577,P-15/05,8,16777.0,16777.0,EXECUTADO,-1541
210030321,169952.0,EXECUTADO_TOTAL,1,59655,13203,8,113450.0,113450.0,EXECUTADO,1490
210030321,169952.0,EXECUTADO_TOTAL,2,55426,26225,8,56502.0,56502.0,EXECUTADO,1527
210030111,226276.0,EXECUTADO_TOTAL,1,33010,80881,8,222880.0,222880.0,EXECUTADO,1512
210030111,226276.0,EXECUTADO_TOTAL,2,44108,83380,8,3396.0,3396.0,EXECUTADO,1536
210030010,236222.0,EXECUTADO_TOTAL,1,59786,13233,8,7392.0,7392.0,EXECUTADO,1633
210030010,236222.0,EXECUTADO_TOTAL,2,55889,85127,8,228830.0,228830.0,EXECUTADO,1470
210030105,256126.0,EXECUTADO_TOTAL,1,51381,84482,8,256126.0,256126.0,EXECUTADO,1566
210030428,259576.0,EXECUTADO_TOTAL,1,59669,13203,8,259576.0,259576.0,EXECUTADO,1563
210030007,291266.0,EXECUTADO_TOTAL,1,33009,81223,8,74880.0,74880.0,EXECUTADO,1600
210030007,291266.0,EXECUTADO_TOTAL,2,59670,92934,8,216386.0,216386.0,EXECUTADO,1551
210030328,322676.0,EXECUTADO_TOTAL,1,59661,13203,8,75000.0,75000.0,EXECUTADO,1573
210030328,322676.0,EXECUTADO_TOTAL,2,50010,26099,8,247676.0,247676.0,EXECUTADO,1864
207210014,372348.0,EXECUTADO_TOTAL,1,59385,13192,8,1400.0,1400.0,EXECUTADO,1802
207210014,372348.0,EXECUTADO_TOTAL,2,58499,13194,8,1400.0,1400.0,EXECUTADO,1576
207210014,372348.0,EXECUTADO_TOTAL,3,59597,13210,8,321087.376,321087.376,EXECUTADO,1520
207210014,372348.0,EXECUTADO_TOTAL,4,59278,13216,8,349.0,349.0,EXECUTADO,1762
207210014,372348.0,EXECUTADO_TOTAL,5,59353,13217,8,1409.0,1409.0,EXECUTADO,1524
207210014,372348.0,EXECUTADO_TOTAL,6,59304,13219,8,256.0,256.0,EXECUTADO,1550
207210014,372348.0,EXECUTADO_TOTAL,7,59486,13222,8,704.0,704.0,EXECUTADO,1558
207210014,372348.0,EXECUTADO_TOTAL,8,59570,13224,8,97.0,97.0,EXECUTADO,-1284
207210014,372348.0,EXECUTADO_TOTAL,9,59743,13225,8,896.0,896.0,EXECUTADO,1572
207210014,372348.0,EXECUTADO_TOTAL,10,59709,13227,8,237.0,237.0,EXECUTADO,1551
207210014,372348.0,EXECUTADO_TOTAL,11,59718,13228,8,201.0,201.0,EXECUTADO,1618
207210014,372348.0,EXECUTADO_TOTAL,12,59809,13229,8,172.0,172.0,EXECUTADO,1601
