lf_move_id,lf_nome,data,valor_insumos_5902,chave,fb_move_id,fb_nome,fb_data,lf_periodo,fb_periodo
192207,VND/2025/00132,2025-03-11,17035.76,35250318467441000163550010000113451001922079,211223,ENTSI/2025/03/0022,2025-03-12,FECHADO,FECHADO
192313,VND/2025/00133,2025-03-11,54931.26,35250318467441000163550010000113471001923134,193403,ENTSI/2025/03/0017,2025-03-12,FECHADO,FECHADO
192979,VND/2025/00135,2025-03-11,184281.53,35250318467441000163550010000113521001929795,193348,ENTSI/2025/03/0015,2025-03-12,FECHADO,FECHADO
211244,VND/2025/00142,2025-03-12,4671.97,35250318467441000163550010000113631002112443,212059,ENTSI/2025/03/0026,2025-03-13,FECHADO,FECHADO
193309,VND/2025/00137,2025-03-12,22832.21,35250318467441000163550010000113551001933093,201817,ENTSI/2025/03/0021,2025-03-12,FECHADO,FECHADO
193279,VND/2025/00136,2025-03-12,147652.82,35250318467441000163550010000113541001932790,193516,ENTSI/2025/03/0020,2025-03-12,FECHADO,FECHADO
193499,VND/2025/00138,2025-03-12,2323.77,35250318467441000163550010000113561001934992,212038,ENTSI/2025/03/0025,2025-03-13,FECHADO,FECHADO
209433,VND/2025/00139,2025-03-12,3949.7,35250318467441000163550010000113581002094330,213558,ENTSI/2025/03/0030,2025-03-14,FECHADO,FECHADO
209470,VND/2025/00140,2025-03-12,580.32,35250318467441000163550010000113591002094701,213536,ENTSI/2025/03/0029,2025-03-14,FECHADO,FECHADO
211463,VND/2025/00143,2025-03-12,34268.29,35250318467441000163550010000113651002114637,212015,ENTSI/2025/03/0023,2025-03-13,FECHADO,FECHADO
209563,VND/2025/00141,2025-03-12,39979.67,35250318467441000163550010000113611002095633,211720,ENTSI/2025/03/0024,2025-03-13,FECHADO,FECHADO
212808,VND/2025/00152,2025-03-13,101741.82,35250318467441000163550010000113781002128083,213709,ENTSI/2025/03/0035,2025-03-14,FECHADO,FECHADO
212790,VND/2025/00151,2025-03-13,11223.06,35250318467441000163550010000113771002127900,213678,ENTSI/2025/03/0033,2025-03-14,FECHADO,FECHADO
212709,VND/2025/00150,2025-03-13,8506.22,35250318467441000163550010000113761002127090,213507,ENTSI/2025/03/0028,2025-03-14,FECHADO,FECHADO
212538,VND/2025/00149,2025-03-13,85670.71,35250318467441000163550010000113751002125384,213621,ENTSI/2025/03/0032,2025-03-14,FECHADO,FECHADO
212437,VND/2025/00148,2025-03-13,3364.93,35250318467441000163550010000113721002124378,213485,ENTSI/2025/03/0027,2025-03-14,FECHADO,FECHADO
212177,VND/2025/00146,2025-03-13,79959.35,35250318467441000163550010000113681002121775,213581,ENTSI/2025/03/0031,2025-03-14,FECHADO,FECHADO
211893,VND/2025/00144,2025-03-13,18234.05,35250318467441000163550010000113661002118931,213695,ENTSI/2025/03/0034,2025-03-14,FECHADO,FECHADO
213293,VND/2025/00154,2025-03-14,177974.66,35250318467441000163550010000113841002132932,213730,ENTSI/2025/03/0036,2025-03-14,FECHADO,FECHADO
213131,VND/2025/00153,2025-03-14,165330.48,35250318467441000163550010000113811002131314,213743,ENTSI/2025/03/0037,2025-03-14,FECHADO,FECHADO
213834,VND/2025/00155,2025-03-15,177974.66,35250318467441000163550010000113861002138340,216330,ENTSI/2025/03/0044,2025-03-18,FECHADO,FECHADO
213914,VND/2025/00157,2025-03-15,10856.71,35250318467441000163550010000113891002139143,216296,ENTSI/2025/03/0041,2025-03-18,FECHADO,FECHADO
