57	27	LOTE_23302521	52870587000193	LATICINIOS E DESCARTAVEIS CACHORRAO DE SEPETIBA LTDA	np02104			\N	\N	378	4073.02	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
58	27	LOTE_C74A82D5	45774009000198	SUPERMERCADO ALVORADA LTDA	np02105			\N	\N	1033.8	11193.79	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
59	27	LOTE_0CBC1F88	24644512000159	estrela real distribuidora ltda	np02111			\N	\N	2574	35804.1	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
37	18	LOTE_A66899EC	02.623.537/0010-24	SORPAN ALIMENTOS	VCD2519528	\N	\N	135985	0	3026.02	36037.87	SP	Guarulhos	17	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
38	18	LOTE_9971A8BA	07.570.682/0002-06	SOLMAR	VCD2519529	\N	\N	135984	0	8679.2	107452.84	SP	Guarulhos	17	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
39	22	LOTE_66299BDE	08.528.442/0001-17	NUTRICIONALE	VCD2519578	\N	\N	135970	0	232.8	3361.71	SP	SAO JOSE DO RIO PRETO	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
64	30	LOTE_4E3968EB	14.218.214/0001-43	MISTER PIZZA	VCD2519571			\N	\N	176.145	2391.19	ES	Serra	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
65	30	LOTE_44C4A87A	10.834.063/0001-05	MISTER PIZZA	VCD2519572			\N	\N	176.145	2391.19	ES	Vila Velha	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
66	30	LOTE_436CFC41	34.686.928/0001-93	MISTER PIZZA	VCD2519569			\N	\N	176.145	2391.19	ES	Vila Velha	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
67	30	LOTE_7AFE67CA	36.925.189/0001-70	CEDRO ALIM E LIMPEZA	VCD2519568			\N	\N	118.80000000000001	1875.6	ES	Vila Velha	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
68	30	LOTE_9729ABA8	39.275.789/0001-29	MISTER PIZZA	VCD2519570			\N	\N	176.145	2391.19	ES	Vitória	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
42	24	LOTE_8A3DE677	43.086.034/0001-53	IMPERIO EMB	VCD2519575	\N	\N	135980	0	369.56	4295.559999999999	MT	Mirassol d'Oeste	\N	FRETE PESO	MIRASSOL D OESTE	0.75	0	0	0	\N	0.5	5.96	0	0	0	0	0	f	0.07	\N	ativo	\N
