77	4360162	AZEITONA VERDE SEM CAROCO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136878 - lote separação LOTE_9A00D903	2025-07-24 23:55:10.707524	2025-07-24 23:55:10.707534	Sincronização Odoo	\N	t
78	4510161	COGUMELO FATIADO - BD 6X1,01 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-35.000	Baixa automática NF 136878 - lote separação LOTE_9A00D903	2025-07-24 23:55:10.709365	2025-07-24 23:55:10.709375	Sincronização Odoo	\N	t
79	4759099	OLEO DE SOJA MISTO - GL 4X5,02 L - ST ISABEL	2025-07-24	FATURAMENTO	VENDA	-20.000	Baixa automática NF 136878 - lote separação LOTE_9A00D903	2025-07-24 23:55:10.711016	2025-07-24 23:55:10.711026	Sincronização Odoo	\N	t
80	4759098	OLEO DE SOJA MISTO - VD 12X500 ML - ST ISABEL	2025-07-24	FATURAMENTO	VENDA	-25.000	Baixa automática NF 136878 - lote separação LOTE_9A00D903	2025-07-24 23:55:10.712728	2025-07-24 23:55:10.712738	Sincronização Odoo	\N	t
81	4310141	AZEITONA VERDE INTEIRA - SACHE 36X80 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-50.000	Baixa automática NF 136878 - lote separação LOTE_9A00D903	2025-07-24 23:55:10.71447	2025-07-24 23:55:10.714481	Sincronização Odoo	\N	t
82	4360141	AZEITONA VERDE SEM CAROCO - SACHE 36X60 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-15.000	Baixa automática NF 136878 - lote separação LOTE_9A00D903	2025-07-24 23:55:10.716245	2025-07-24 23:55:10.716256	Sincronização Odoo	\N	t
83	4310165	AZEITONA VERDE  INTEIRA MEDIA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-2.000	Baixa automática NF 136879 - lote separação LOTE_A23B702A	2025-07-24 23:55:10.724436	2025-07-24 23:55:10.724447	Sincronização Odoo	\N	t
84	4350162	AZEITONA VERDE RECHEADA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-2.000	Baixa automática NF 136879 - lote separação LOTE_A23B702A	2025-07-24 23:55:10.726178	2025-07-24 23:55:10.726188	Sincronização Odoo	\N	t
85	4100161	TOMATE SECO - BD 6X1,4 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-4.000	Baixa automática NF 136879 - lote separação LOTE_A23B702A	2025-07-24 23:55:10.727727	2025-07-24 23:55:10.727738	Sincronização Odoo	\N	t
86	4070156	PIMENTA BIQUINHO - POUCH 6X1,01 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-4.000	Baixa automática NF 136879 - lote separação LOTE_A23B702A	2025-07-24 23:55:10.729386	2025-07-24 23:55:10.729396	Sincronização Odoo	\N	t
87	4830103	KETCHUP - GL 4X3,05 KG - ST ISABEL	2025-07-24	FATURAMENTO	VENDA	-20.000	Baixa automática NF 136879 - lote separação LOTE_A23B702A	2025-07-24 23:55:10.730931	2025-07-24 23:55:10.730941	Sincronização Odoo	\N	t
88	4850103	MAIONESE - POTE 6X3 KG - ST ISABEL (cópia)	2025-07-24	FATURAMENTO	VENDA	-4.000	Baixa automática NF 136879 - lote separação LOTE_A23B702A	2025-07-24 23:55:10.73252	2025-07-24 23:55:10.732529	Sincronização Odoo	\N	t
89	4320147	AZEITONA VERDE FATIADA - POUCH 18X150 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-100.000	Baixa automática NF 136934 - lote separação LOTE_6C84CE77	2025-07-24 23:55:10.740252	2025-07-24 23:55:10.740263	Sincronização Odoo	\N	t
90	4310146	AZEITONA VERDE FATIADA - POUCH 30X80 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-80.000	Baixa automática NF 136934 - lote separação LOTE_6C84CE77	2025-07-24 23:55:10.741893	2025-07-24 23:55:10.741903	Sincronização Odoo	\N	t
91	4310141	AZEITONA VERDE INTEIRA - SACHE 36X80 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-66.000	Baixa automática NF 136934 - lote separação LOTE_6C84CE77	2025-07-24 23:55:10.74353	2025-07-24 23:55:10.743539	Sincronização Odoo	\N	t
92	4310145	AZEITONA VERDE INTEIRA - POUCH 30X100 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-40.000	Baixa automática NF 136934 - lote separação LOTE_6C84CE77	2025-07-24 23:55:10.74522	2025-07-24 23:55:10.74523	Sincronização Odoo	\N	t
93	4360141	AZEITONA VERDE SEM CAROCO - SACHE 36X60 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-66.000	Baixa automática NF 136934 - lote separação LOTE_6C84CE77	2025-07-24 23:55:10.746801	2025-07-24 23:55:10.746811	Sincronização Odoo	\N	t
94	4360147	AZEITONA VERDE SEM CAROCO - POUCH 18x150 GR - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-66.000	Baixa automática NF 136934 - lote separação LOTE_6C84CE77	2025-07-24 23:55:10.748391	2025-07-24 23:55:10.7484	Sincronização Odoo	\N	t
95	4510145	COGUMELO FATIADO - POUCH 30X100 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-20.000	Baixa automática NF 136934 - lote separação LOTE_6C84CE77	2025-07-24 23:55:10.750148	2025-07-24 23:55:10.750158	Sincronização Odoo	\N	t
96	4310071	AZEITONA VERDE - ABRE FACIL VD 24X100 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-50.000	Baixa automática NF 136934 - lote separação LOTE_6C84CE77	2025-07-24 23:55:10.75171	2025-07-24 23:55:10.751719	Sincronização Odoo	\N	t
97	4310176	AZEITONA VERDE INTEIRA - VD 12X200 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-100.000	Baixa automática NF 136934 - lote separação LOTE_6C84CE77	2025-07-24 23:55:10.753275	2025-07-24 23:55:10.753284	Sincronização Odoo	\N	t
