125	9581	2025-07-21	2025-07-23	ATRASO	Stephanie Macena Rodrigues Chaves 	2025-07-23 11:08:19.129335
126	9860	2025-07-17	2025-07-23	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-23 11:31:58.711496
127	9860	2025-07-23	2025-07-23	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-23 11:32:05.976172
128	9860	2025-07-23	2025-07-23	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-23 11:32:06.217984
129	9860	2025-07-23	2025-07-23	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-23 11:32:06.647291
130	9860	2025-07-23	2025-07-23	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-23 11:32:07.049887
131	9803	\N	2025-08-04	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-24 14:34:37.48942
132	10304	2025-07-21	2025-07-24	Falta de pagamento de devolução 	Stephanie Macena Rodrigues Chaves 	2025-07-24 18:19:30.213074
133	10304	2025-07-24	2025-07-25	Falta de pagamento de devolução	Stephanie Macena Rodrigues Chaves 	2025-07-25 10:18:05.167243
134	9947	2025-07-24	2025-07-25	chegou no local dia 24	Stephanie Macena Rodrigues Chaves 	2025-07-25 13:29:34.58504
135	9978	2025-07-24	2025-07-25	chegou no local dia 24	Stephanie Macena Rodrigues Chaves 	2025-07-25 13:29:44.360411
\.


